序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
564,2023,醫學及病理檢驗人員,M760000000,-,-,-
565,2023,勞安及衛生技術員,M760000000,39,43965,65
566,2023,會計人員,M760000000,---,---,---
567,2023,工商業銷售代表(含業務員),M760000000,587,48359,68.2
568,2023,採購員,M760000000,---,---,---
569,2023,專業秘書,M760000000,-,-,-
570,2023,攝影師、攝影記者,M760000000,---,---,---
571,2023,資訊管理及維護技術員,M760000000,---,---,---
572,2023,事務支援人員,M760000000,4197,34898,49.8
573,2023,總務,M760000000,---,---,---
574,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),M760000000,1349,36589,51.3
575,2023,接待員及服務台事務人員(含總機),M760000000,---,---,---
576,2023,電話及網路客服人員,M760000000,---,---,---
577,2023,醫院(診所)櫃台事務人員,M760000000,-,-,-
578,2023,會計助理、簿記、出納,M760000000,---,---,---
579,2023,生產及物料規劃事務人員,M760000000,-,-,-
580,2023,人事事務人員,M760000000,---,---,---
581,2023,服務及銷售工作人員,M760000000,3387,29994,40.5
582,2023,美髮、美容及造型設計人員,M760000000,---,---,---
583,2023,寵物美容師及動物照料工作人員,M760000000,1642,33253,44.8
584,2023,銷售人員,M760000000,---,---,---
585,2023,電話及網路行銷人員,M760000000,-,-,-
586,2023,技藝、機械設備操作及組裝人員,M760000000,---,---,---
587,2023,美編、印刷及有關工作人員(含印刷前置、裝訂),M760000000,---,---,---
588,2023,生產機械設備操作人員、剪裁或裁縫人員,M760000000,-,-,-
589,2023,小客、貨車駕駛人員,M760000000,---,---,---
590,2023,基層技術工及勞力工,M760000000,---,---,---
591,2023,清潔及家事工作人員(含建築清潔工、房務人員),M760000000,---,---,---
592,2023,勞力工(含理貨員、行李搬運工),M760000000,-,-,-
